,曲名,时长,熟悉度
1,马兰花,4:22:00,7
2,天边,4:21:00,7
3,美人,3:46:00,7
4,花月夜,4:14:00,7
5,风带走的,3:44:00,6
6,美人吟,4:29:00,6
7,世界赠予我的,4:01:00,5
8,乌兰巴托的夜,3:35:00,5
9,别有天,4:15:00,4
10,苹果香,2:48:00,4
11,又见江南雨,4:29:00,3
12,梅花赋,3:48:00,3
13,黄梅悠悠,3:27:00,3
14,相思月,4:22:00,2
15,只留清香春来报,4:04:00,2
16,西班牙斗牛舞,3:29:00,2
17,彩云之南,4:33:00,2
18,上春山,2:32:00,2
19,爱在纳木错,3:24:00,2
20,雨巷佳人,4:42:00,2
21,花又落,4:30:00,2
22,黄河水从我家门前过,4:28:00,1
23,枕着光的她,3:10:00,1
24,心愿,5:32:00,1
25,故乡情,4:14:00,1
26,站在草原望北京,3:13:00,1
27,莫日格勒河,4:33:00,1
28,牧羊女神,3:47:00,1
29,微藤花,3:44:00,1
30,我的玫瑰卓玛拉,3:31:00,1
31,天边的巴拉格宗,4:32:00,1
32,花开的地方,4:10:00,1
33,醉乡,2:44:00,1
34,阿瓦尔古丽,4:48:00,1
35,水边的格桑梅朵,3:58:00,1
36,梦回草原,4:30:00,1
